* Targets:
* 1 - proton
* 3 - deuterium
*
*
*Asymmetry types:
*30 - pi+
*31 - pi-
*40 - K+
*41 - K-
*
*
*

*---- proton target ----

z min max   Q2 min max   mult    考stat         考RICH      考MC 
1 30
0.600 0.750 5.000 15.000 -0.02004 0.00102 +0.00112 -0.00200 0.00151


*---- Deutrium target ----

z min max   Q2 min max   mult    考stat         考RICH      考MC
3 30
0.250 0.350 1.000 1.500  1.32178 0.00715 +0.01596 -0.00448 0.00878 	 
0.250 0.350 1.500 2.000  1.25003 0.00902 +0.01554 -0.00411 0.00877 	 
0.250 0.350 2.000 3.000  1.32091 0.00830 +0.01575 -0.00428 0.00727 	 
0.250 0.350 3.000 5.000  1.35321 0.00921 +0.01454 -0.00515 0.00647 	 
0.250 0.350 5.000 15.000 1.40945 0.01425 +0.01123 -0.00631 0.00669 	 
0.350 0.450 1.000 1.500  0.75208 0.00548 +0.00367 -0.00257 0.00684 	 
0.350 0.450 1.500 2.000  0.71212 0.00675 +0.00322 -0.00248 0.00673 	 
0.350 0.450 2.000 3.000  0.73928 0.00615 +0.00245 -0.00282 0.00539 	 
0.350 0.450 3.000 5.000  0.72785 0.00666 +0.00097 -0.00313 0.00457 	 
0.350 0.450 5.000 15.000 0.72438 0.00969 +0.00151 -0.00309 0.00436 	 
0.450 0.600 1.000 1.500  0.41536 0.00341 +0.00000 -0.00121 0.00417 	 
0.450 0.600 1.500 2.000  0.39005 0.00398 +0.00000 -0.00117 0.00390 	 
0.450 0.600 2.000 3.000  0.37225 0.00347 +0.00000 -0.00112 0.00293 	 
0.450 0.600 3.000 5.000  0.37086 0.00375 +0.00000 -0.00105 0.00249 	 
0.450 0.600 5.000 15.000 0.35411 0.00519 +0.00000 -0.00094 0.00221 	 
0.600 0.750 1.000 1.500  0.19005 0.00275 +0.00322 -0.00244 0.00288 	 
0.600 0.750 1.500 2.000  0.18072 0.00312 +0.00291 -0.00204 0.00274 	 
0.600 0.750 2.000 3.000  0.17131 0.00269 +0.00254 -0.00197 0.00204 	 
0.600 0.750 3.000 5.000  0.18181 0.00294 +0.00300 -0.00208 0.00177 	 
0.600 0.750 5.000 15.000 0.16133 0.00381 +0.00126 -0.00178 0.00145


z min max   Q2 min max   mult    考stat         考RICH      考MC
3 31
0.250 0.350 1.000 1.500  1.13288 0.00652 +0.01410 -0.00429 0.00803 	 
0.250 0.350 1.500 2.000  1.07838 0.00832 +0.01417 -0.00388 0.00809 	 
0.250 0.350 2.000 3.000  1.09964 0.00752 +0.01391 -0.00422 0.00659 	 
0.250 0.350 3.000 5.000  1.08554 0.00819 +0.01216 -0.00456 0.00572 	 
0.250 0.350 5.000 15.000 1.06087 0.01222 +0.00917 -0.00517 0.00565 	 
0.350 0.450 1.000 1.500  0.61882 0.00494 +0.00324 -0.00200 0.00617 	 
0.350 0.450 1.500 2.000  0.56011 0.00589 +0.00299 -0.00176 0.00577 	 
0.350 0.450 2.000 3.000  0.58463 0.00542 +0.00235 -0.00199 0.00476 	 
0.350 0.450 3.000 5.000  0.54998 0.00572 +0.00134 -0.00196 0.00390 	 
0.350 0.450 5.000 15.000 0.51303 0.00816 +0.00148 -0.00173 0.00359 	 
0.450 0.600 1.000 1.500  0.32343 0.00295 +0.00039 -0.00085 0.00363 	 
0.450 0.600 1.500 2.000  0.29937 0.00346 +0.00017 -0.00085 0.00343 	 
0.450 0.600 2.000 3.000  0.29161 0.00305 +0.00018 -0.00080 0.00267 	 
0.450 0.600 3.000 5.000  0.26212 0.00310 +0.00026 -0.00050 0.00206 	 
0.450 0.600 5.000 15.000 0.22838 0.00419 +0.00019 -0.00030 0.00175 	 
0.600 0.750 1.000 1.500	 0.15156 0.00241 +0.00334 -0.00232 0.00263 	 
0.600 0.750 1.500 2.000	 0.13143 0.00264 +0.00283 -0.00206 0.00234 	 
0.600 0.750 2.000 3.000	 0.13000 0.00231 +0.00328 -0.00225 0.00184 	 
0.600 0.750 3.000 5.000	 0.11850 0.00231 +0.00328 -0.00227 0.00142 	 
0.600 0.750 5.000 15.000 0.09614 0.00286 +0.00254 -0.00181 0.00112 


z min max   Q2 min max   mult    考stat         考RICH      考MC
3 40
0.250 0.350 1.000 1.500  0.23007 0.00383 +0.00339 -0.01669 0.00350 	 
0.250 0.350 1.500 2.000  0.25390 0.00517 +0.00341 -0.01740 0.00395 	 
0.250 0.350 2.000 3.000  0.25062 0.00477 +0.00431 -0.01717 0.00319 	 
0.250 0.350 3.000 5.000	 0.26601 0.00524 +0.00447 -0.01741 0.00290 	 
0.250 0.350 5.000 15.000 0.28920 0.00853 +0.00688 -0.01772 0.00324 	 
0.350 0.450 1.000 1.500  0.15045 0.00294 +0.00254 -0.00596 0.00293 	 
0.350 0.450 1.500 2.000  0.14897 0.00373 +0.00252 -0.00606 0.00301 	 
0.350 0.450 2.000 3.000  0.16592 0.00344 +0.00261 -0.00530 0.00254 	 
0.350 0.450 3.000 5.000  0.16965 0.00376 +0.00303 -0.00404 0.00223 	 
0.350 0.450 5.000 15.000 0.18076 0.00569 +0.00298 -0.00264 0.00233 	 
0.450 0.600 1.000 1.500	 0.10202 0.00193 +0.00000 -0.00125 0.00192 	 
0.450 0.600 1.500 2.000  0.10037 0.00238 +0.00000 -0.00097 0.00192 	 
0.450 0.600 2.000 3.000	 0.10026 0.00218 +0.00000 -0.00096 0.00152 	 
0.450 0.600 3.000 5.000	 0.10867 0.00246 +0.00000 -0.00138 0.00136 	 
0.450 0.600 5.000 15.000 0.10692 0.00351 +0.00116 -0.00045 0.00128 	 
0.600 0.750 1.000 1.500	 0.04653 0.00149 +0.00144 -0.00411 0.00133 	 
0.600 0.750 1.500 2.000	 0.04624 0.00190 +0.00063 -0.00343 0.00136 	 
0.600 0.750 2.000 3.000	 0.05396 0.00173 +0.00000 -0.00237 0.00109 	 
0.600 0.750 3.000 5.000	 0.05343 0.00197 +0.00000 -0.00313 0.00092 	 
0.600 0.750 5.000 15.000 0.05856 0.00286 +0.00000 -0.00130 0.00088


z min max   Q2 min max   mult     stat         考RICH      考MC
3 41
0.250 0.350 1.000 1.500   0.12440 0.00275 +0.00220 -0.01496 0.00220 	 
0.250 0.350 1.500 2.000   0.12619 0.00368 +0.00221 -0.01535 0.00237 	 
0.250 0.350 2.000 3.000   0.12635 0.00336 +0.00223 -0.01598 0.00195 	 
0.250 0.350 3.000 5.000   0.13323 0.00373 +0.00257 -0.01532 0.00183 
0.250 0.350 5.000 15.000  0.13522 0.00577 +0.00338 -0.01610 0.00201 	 
0.350 0.450 1.000 1.500   0.06877 0.00193 +0.00099 -0.00423 0.00165 	 
0.350 0.450 1.500 2.000   0.06781 0.00244 +0.00081 -0.00428 0.00170 	 
0.350 0.450 2.000 3.000   0.06808 0.00219 +0.00097 -0.00381 0.00137 	 
0.350 0.450 3.000 5.000   0.06237 0.00227 +0.00113 -0.00276 0.00112 	 
0.350 0.450 5.000 15.000  0.07255 0.00358 +0.00123 -0.00204 0.00135 	 
0.450 0.600 1.000 1.500   0.03939 0.00114 +0.00000 -0.00094 0.00095 	 
0.450 0.600 1.500 2.000   0.03904 0.00148 +0.00000 -0.00084 0.00100 	 
0.450 0.600 2.000 3.000	  0.03325 0.00121 +0.00000 -0.00046 0.00070 	 
0.450 0.600 3.000 5.000	  0.03228 0.00129 +0.00000 -0.00059 0.00060 	 
0.450 0.600 5.000 15.000  0.02646 0.00160 +0.00042 -0.00040 0.00064 	 
0.600 0.750 1.000 1.500	  0.00721 0.00085 +0.00268 -0.00473 0.00061 	 
0.600 0.750 1.500 2.000	  0.00697 0.00095 +0.00191 -0.00345 0.00054 	 
0.600 0.750 2.000 3.000	  0.00573 0.00083 +0.00193 -0.00352 0.00039 	 
0.600 0.750 3.000 5.000	  0.00642 0.00088 +0.00190 -0.00344 0.00030 	 
0.600 0.750 5.000 15.000 -0.01684 0.00117 +0.00141 -0.00266 0.00154
 	
